City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Fortuna,US,2022-02-10 17:10:10,40.5982,-124.1573,64.74,78,0,12.66,clear sky
180,Providencia,MX,2022-02-10 17:14:20,28.7167,-111.5833,75.25,37,0,0.89,clear sky
181,Mao,ES,2022-02-10 17:14:20,39.8885,4.2658,55.96,76,75,3.44,broken clouds
182,Udachnyy,RU,2022-02-10 17:14:21,66.4167,112.4,-6.56,76,100,7.76,overcast clouds
183,Itarema,BR,2022-02-10 17:10:56,-2.9248,-39.9167,85.35,61,100,10.67,overcast clouds
184,Lebu,CL,2022-02-10 17:12:33,-37.6167,-73.65,60.82,59,40,25.5,scattered clouds
185,Debrecen,HU,2022-02-10 17:15:21,47.5333,21.6333,46.51,81,20,4.61,few clouds
186,Adrar,MR,2022-02-10 17:15:22,20.5022,-10.0711,79.47,11,42,19.1,scattered clouds
187,Cururupu,BR,2022-02-10 17:15:22,-1.8283,-44.8683,77.32,85,90,3.44,overcast clouds
188,Belaya Gora,RU,2022-02-10 17:15:22,68.5333,146.4167,-41.49,99,31,4.16,scattered clouds
189,Guerrero Negro,MX,2022-02-10 17:15:23,27.9769,-114.0611,66.07,45,0,2.59,clear sky
190,Dosso,NE,2022-02-10 17:15:23,13.049,3.1937,92.08,7,13,8.57,few clouds
191,Ilulissat,GL,2022-02-10 17:15:03,69.2167,-51.1,-0.38,55,75,5.75,broken clouds
192,Ani-E,PH,2022-02-10 17:15:23,8.6136,124.8706,68.77,92,100,3.02,overcast clouds
193,Dhidhdhoo,MV,2022-02-10 17:15:24,6.8833,73.1,80.64,77,67,12.8,broken clouds
194,Srednekolymsk,RU,2022-02-10 17:15:24,67.45,153.6833,-39.32,99,75,5.73,broken clouds
195,Amot,NO,2022-02-10 17:15:24,59.5714,7.9877,28.42,92,19,5.03,few clouds
196,Kununurra,AU,2022-02-10 17:15:25,-15.7667,128.7333,78.78,94,57,0.0,broken clouds
197,Pisco,PE,2022-02-10 17:15:25,-13.7,-76.2167,78.03,69,0,10.36,clear sky
198,Lata,PT,2022-02-10 17:15:25,40.1629,-8.3327,64.72,49,99,4.03,overcast clouds
199,Najran,SA,2022-02-10 17:15:26,17.4924,44.1277,68.65,22,1,4.68,clear sky
200,Rosetown,CA,2022-02-10 17:15:26,51.5501,-108.0014,38.98,75,83,13.8,broken clouds
201,Zhanaozen,KZ,2022-02-10 17:15:26,43.3,52.8,39.97,70,100,15.32,overcast clouds
