City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Cabra,ES,65.64,few clouds,37.4725,-4.4421,Hotel Santo Domingo Lucena
321,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
323,Bambanglipuro,ID,78.24,heavy intensity rain,-7.95,110.2833,Kimaya Sudirman Yogyakarta by Harris
324,Inongo,CD,82.35,overcast clouds,-1.95,18.2667,Hotel Du Lac
326,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
329,Lompoc,US,82.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
332,Saint-Leu,RE,77.86,scattered clouds,-21.15,55.2833,Boucan Canot
336,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,One&Only Le Saint Géran
339,Taoudenni,ML,76.51,few clouds,22.6783,-3.9836,
340,Oum Hadjer,TD,80.24,clear sky,13.2954,19.6966,
341,Popondetta,PG,74.1,overcast clouds,-8.7537,148.2534,Timos Transit House
354,Banyo,CM,82.18,clear sky,6.75,11.8167,Motel JOMBA
356,Ancud,CL,65.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
360,Hays,US,67.08,overcast clouds,30.0502,-98.0336,Hampton Inn & Suites Austin South/Buda
361,Calvinia,ZA,77.29,clear sky,-31.4707,19.776,Die Lemoenhuis
362,Tomohon,ID,68.94,moderate rain,1.3346,124.8392,Aryaduta Hotel
367,Sibu,MY,77.31,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
369,Durania,CO,74.32,broken clouds,7.7131,-72.6576,HOTEL Y RESTAURANTE CASA LOPEZ
374,Lake Wales,US,68.77,clear sky,27.9014,-81.5859,"Holiday Inn Express Lake Wales N-Winter Haven, an IHG Hotel"
378,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
385,Wanning,CN,69.6,scattered clouds,18.8003,110.3967,Jianling Hot Spring
389,Talcahuano,CL,71.28,clear sky,-36.7167,-73.1167,Hotel El Araucano
391,Noumea,NC,81.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
392,Moree,AU,66.22,clear sky,-29.4667,149.85,Molika Springs Motel
393,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
395,Luganville,VU,77.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
396,Coquimbo,CL,67.73,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
411,Da Nang,VN,73.38,scattered clouds,16.0678,108.2208,Sun River Hotel
412,Tandil,AR,79.72,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
415,Saldanha,ZA,71.65,clear sky,-33.0117,17.9442,Club Mykonos Resort
416,Makakilo City,US,71.92,clear sky,21.3469,-158.0858,Best Western The Plaza Hotel
422,Rayong,TH,83.71,scattered clouds,12.8333,101.4333,Brookside Valley Resort & Strawberry Town
423,Micheweni,TZ,80.64,overcast clouds,-4.9667,39.8333,Swahili divers and gecko nature Lodge
425,Cidreira,BR,76.77,clear sky,-30.1811,-50.2056,Hotel Da Praia
426,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
427,Dicabisagan,PH,73.72,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
430,Grand-Santi,GF,83.39,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
431,Koumac,NC,79.52,overcast clouds,-20.5667,164.2833,Le Monitel
439,Port Moresby,PG,75.85,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
441,Faanui,PF,80.98,overcast clouds,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
442,Debre Zeyit,ET,68.07,few clouds,8.75,38.9833,Kuriftu Resort & Spa Bishoftu
444,Arlit,NE,79.72,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
447,Ihosy,MG,73.24,light rain,-22.4,46.1167,Hotely Sariaka
449,Cap Malheureux,MU,79.29,scattered clouds,-19.9842,57.6142,The Ravenala Attitude Hotel
451,Marabba,SD,84.56,clear sky,12.35,32.1833,Dukkan shakash
457,Sao Miguel Do Araguaia,BR,74.35,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
458,Namibe,AO,75.99,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
459,Nabire,ID,75.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
461,Viedma,AR,67.01,overcast clouds,-40.8135,-62.9967,Hotel Cristal
462,Imbituba,BR,82.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
466,Rocha,UY,83.43,clear sky,-34.4833,-54.3333,Ecological Camping Punta Rubia
469,Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
470,Laem Sing,TH,84.15,broken clouds,12.4816,102.0738,Maldives Beach Resort
475,Rio Grande,BR,81.95,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
479,Cardoso,BR,80.78,overcast clouds,-20.0819,-49.9142,Eco Resort Foz do Marinheiro | Interior de São Paulo
480,Taltal,CL,69.13,clear sky,-25.4,-70.4833,Residencial Karime
481,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,The Lodge at Kauri Cliffs
483,Bandarbeyla,SO,74.3,few clouds,9.4942,50.8122,JABIR HOTEL
485,Charters Towers,AU,73.15,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
490,Oriximina,BR,82.04,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
493,Kawalu,ID,73.45,heavy intensity rain,-7.3817,108.2082,Hotel Santika Tasikmalaya
501,Acandi,CO,82.38,broken clouds,8.5063,-77.2778,Los Robles Capurgana
502,Tchibanga,GA,76.33,light rain,-2.85,11.0333,Motel Beaux Rivage
503,Ambatofinandrahana,MG,65.23,light rain,-20.55,46.8,TATAMO
504,Manado,ID,77.77,moderate rain,1.487,124.8455,Aryaduta Hotel
505,Makokou,GA,83.68,overcast clouds,0.5738,12.8642,Hôtel
506,Austin,US,69.31,clear sky,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
510,Xuddur,SO,81.93,scattered clouds,4.1213,43.8894,Banjanay Hotel
511,Flinders,AU,70.18,overcast clouds,-34.5833,150.8552,The Sebel Kiama Harbourside
513,Bubaque,GW,79.66,clear sky,11.2833,-15.8333,0
514,Buraydah,SA,72.05,scattered clouds,26.326,43.975,فندق راحة السلام
519,Marsh Harbour,BS,72.84,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
521,Catuday,PH,77.65,clear sky,16.2923,119.8062,Puerto Del Sol Beach Resort and Hotel Club
525,Bireun,ID,77.56,overcast clouds,5.203,96.7009,Koss Dhanny
526,Nirmal,IN,73.35,broken clouds,19.1,78.35,Hotel Mayuri
527,Morro Bay,US,70.0,clear sky,35.3658,-120.8499,Inn at Morro Bay
530,Cavalcante,BR,75.47,light rain,-13.7975,-47.4583,Pousada Vila dos Ipês
532,Zambezi,ZM,68.09,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
535,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
541,Kudahuvadhoo,MV,81.46,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
545,Amuntai,ID,72.82,overcast clouds,-2.4177,115.2494,Hotel Balqis
546,Cape Coast,GH,82.2,clear sky,5.1053,-1.2466,Rain Forest Lodge
548,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada João Vitor e o Mar
551,Hervey Bay,AU,68.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
